name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
antlr-2.7.7-redhat-1.jar,BSD,Copyright (c) 2012 Terence Parr and Sam Harwell,,,,,,
aopalliance-1.0.0.jar,Public Domain,"",,,,,,
asm-3.3.1.jar,BSD,"Copyright (c) 2000-2011 INRIA, France Telecom","",,,,,
cglib-2.2.2.jar,Apache-2.0,"",,,,,,
commons-collections4-4.4.jar,Apache-2.0,"",,,,,,
commons-compress-1.20.jar,Apache-2.0,"",,,,,,
commons-io-2.5.jar,Apache-2.0,"",,,,,,,,,,,,,,,,
commons-lang-2.4.jar,Apache-2.0,"",,,,,,
commons-logging-1.1.1.jar,Apache-2.0,"",,,,,,
commons-math3-3.6.1.jar,Apache-2.0,"",,,,,,
csi-apachesoap-1.4.6.jar,Apache-2.0;MIT,CSI-Piemonte,,,,,,
csi-core-1.4.6.jar,Apache-2.0;MIT,CSI-Piemonte,,,,,,
csi-ejb-1.4.6.jar,Apache-2.0;MIT,CSI-Piemonte,,,,,,
csi-rmi-1.4.6.jar,Apache-2.0;MIT,CSI-Piemonte,,,,,,
csi-stadapter-1.4.6.jar,Apache-2.0;MIT,CSI-Piemonte,,,,,,
curvesapi-1.05.jar,BSD 3-clause,"",,,,,,
dom4j-1.6.1-redhat-1.jar,CC0 1.0;Public Domain,"Copyright 2001-2016 (C) MetaStuff, Ltd. and DOM4J contributors.",,,,,,
fr.opensagres.odfdom.converter.core-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.odfdom.converter.pdf-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.odfdom.converter.xhtml-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.poi.xwpf.converter.core-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.poi.xwpf.converter.pdf-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.poi.xwpf.converter.xhtml-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.xdocreport.converter.docx.xwpf-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.xdocreport.converter.odt.odfdom-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.xdocreport.converter-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.xdocreport.core-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.xdocreport.document.odt-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.xdocreport.document-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.xdocreport.itext.extension-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.xdocreport.template.velocity-2.0.2.jar,MIT,"",,,,,,
fr.opensagres.xdocreport.template-2.0.2.jar,MIT,"",,,,,,
groovy-3.0.7.jar,Apache-2.0,Copyright (C) 2020 The Apache Software Foundation,,,,,,
groovy-json-3.0.7.jar,Apache-2.0,Copyright (C) 2020 The Apache Software Foundation,,,,,,
groovy-jsr223-3.0.7.jar,Apache-2.0,Copyright (C) 2020 The Apache Software Foundation,,,,,,
hibernate-commons-annotations-5.1.2.Final.jar,LGPL-2.1,"Copyright (C) 1991, 1999 Free Software Foundation, Inc.",,,,,,
hibernate-core-4.3.11.Final.jar,LGPL-2.1,"Copyright (C) 1991, 1999 Free Software Foundation, Inc.",,,,,,
hibernate-entitymanager-4.3.11.Final.jar,LGPL-2.1,"Copyright (C) 1991, 1999 Free Software Foundation, Inc.",,,,,,
hibernate-jpa-2.1-api-1.0.2.Final.jar,LGPL-2.1,"Copyright (C) 1991, 1999 Free Software Foundation, Inc.",,,,,,
hibernate-types-52-2.10.3.jar,Apache-2.0,Copyright {2017-2020} {Mihalcea Vlad-Alexandru},,,,,,
hibernate-validator-7.0.1.Final.jar,LGPL-2.1,"Copyright (C) 1991, 1999 Free Software Foundation, Inc.",,,,,,
httpclient-4.5.13.jar,Apache-2.0,"",,,,,,
httpcore-4.4.5.jar,Apache-2.0,"",,,,,,
iridev2-pep-intf-2.0.0.jar,Apache-2.0,"",,,,,,
