"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","11.2.14","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/common","11.2.14","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","11.2.14","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","11.2.14","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/forms","11.2.14","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/platform-browser","11.2.14","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","11.2.14","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","11.2.14","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@asymmetrik/ngx-leaflet","8.1.0","MIT","Copyright (c) 2007-2022 Asymmetrik Ltd, a BlueHalo Company","https://www.npmjs.com/package/%40asymmetrik%2Fngx-leaflet"
"nodejs","@nebular/security","7.0.0","MIT","Copyright (c) 2017 Akveo.","https://www.npmjs.com/package/%40nebular%2Fsecurity"
"nodejs","@ng-bootstrap/ng-bootstrap","9.1.3","MIT","Copyright (c) 2015-2018 Angular ng-bootstrap team","https://www.npmjs.com/package/%40ng-bootstrap%2Fng-bootstrap"
"nodejs","@ng-select/ng-select","6.1.0","MIT","Copyright (c) Andžej Maciusovič","https://www.npmjs.com/package/%40ng-select%2Fng-select"
"nodejs","@ngneat/until-destroy","8.1.4","MIT","Copyright (c) 2019 Netanel Basal","https://www.npmjs.com/package/%40ngneat%2Funtil-destroy"
"nodejs","@ngx-translate/core","13.0.0","MIT","Copyright (c) 2023 Olivier Combe","https://www.npmjs.com/package/%40ngx-translate%2Fcore"
"nodejs","@sindresorhus/is","0.14.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/%40sindresorhus%2Fis"
